"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.563425792E0,6.631210327E-2,1.983375549E-1,9.796827393E0,9.799059243E0
2.573442792E0,6.870712280E-2,2.077679443E-1,9.795180817E0,9.797624989E0
2.583460417E0,6.601272583E-2,2.016307068E-1,9.794282684E0,9.796580318E0
2.593478417E0,6.451583862E-2,1.989363098E-1,9.794432373E0,9.796664915E0
2.603496417E0,6.092330933E-2,2.050735474E-1,9.799821167E0,9.802155973E0
2.613514417E0,6.840774536E-2,2.013313293E-1,9.799821167E0,9.802127770E0
2.623532417E0,6.286926270E-2,1.974394226E-1,9.801318054E0,9.803508070E0
2.633549417E0,6.900650024E-2,2.040257263E-1,9.800719299E0,9.803085595E0
2.643567417E0,6.496490479E-2,2.058219910E-1,9.802964630E0,9.805340314E0
2.653585417E0,5.942642212E-2,1.995350647E-1,9.799521790E0,9.801733165E0
2.663603417E0,6.481521606E-2,1.995350647E-1,9.791139221E0,9.793386672E0
2.673621417E0,6.271957397E-2,2.026785278E-1,9.791887665E0,9.794185845E0
2.683639417E0,6.062393188E-2,1.874102783E-1,9.792187042E0,9.794167905E0
2.693656417E0,5.254074097E-2,2.035766602E-1,9.791887665E0,9.794144579E0
2.703674417E0,5.658233643E-2,2.013313293E-1,9.798324280E0,9.800555829E0
2.713692417E0,6.676116943E-2,1.984872437E-1,9.801168365E0,9.803405305E0
2.723710417E0,6.376739502E-2,2.017803955E-1,9.790690155E0,9.792976837E0
2.733728417E0,6.346801758E-2,1.960922241E-1,9.798174591E0,9.800342120E0
2.743745417E0,6.451583862E-2,1.986369324E-1,9.801318054E0,9.803542958E0
2.753763417E0,6.930587769E-2,1.916015625E-1,9.800569611E0,9.802687344E0
2.763781417E0,6.316864014E-2,1.996847534E-1,9.805359650E0,9.807596145E0
2.773799417E0,6.391708374E-2,2.079176331E-1,9.805659027E0,9.808071375E0
2.783817417E0,6.062393188E-2,1.993853760E-1,9.792935486E0,9.795152639E0
2.793835417E0,6.092330933E-2,1.944456482E-1,9.799222412E0,9.801340757E0
2.803852417E0,6.047424316E-2,1.974394226E-1,9.792935486E0,9.795112296E0
2.813870417E0,5.673202515E-2,1.895059204E-1,9.794731750E0,9.796729101E0
2.823888417E0,6.107299805E-2,2.091151428E-1,9.803862762E0,9.806282890E0
