"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.823191125E0,2.395019531E-3,9.295669556E-2,9.782008209E0,9.782450168E0
1.833207125E0,-3.442840576E-3,1.082249451E-1,9.642348633E0,9.642956582E0
1.843224125E0,8.532257080E-3,1.508862305E-1,9.631720734E0,9.632906298E0
1.853241125E0,1.781295776E-2,1.260379028E-1,9.849517822E0,9.850340308E0
1.863258125E0,-2.544708252E-2,1.133143616E-1,9.685608673E0,9.686304923E0
1.873274125E0,-1.332229614E-2,1.091230774E-1,9.740694122E0,9.741314455E0
1.883291125E0,2.020797729E-2,1.094224548E-1,9.881102142E0,9.881728654E0
1.893308125E0,-1.062789917E-2,1.104702759E-1,9.814490662E0,9.815118113E0
1.903324125E0,-8.232879639E-3,9.954299927E-2,9.824968872E0,9.825476575E0
1.913341125E0,-9.879455566E-3,1.110690308E-1,9.894125061E0,9.894753390E0
1.923358125E0,-7.185058594E-3,1.199006653E-1,9.874515839E0,9.875246369E0
1.933374125E0,1.062789917E-2,1.019380188E-1,9.875264282E0,9.875796118E0
1.943391125E0,-1.646575928E-3,1.023870850E-1,9.838141479E0,9.838674382E0
1.953407125E0,-1.182540894E-2,1.158590698E-1,9.833351440E0,9.834041067E0
1.963424125E0,4.490661621E-4,9.580078125E-2,9.817634125E0,9.818101537E0
1.973441125E0,9.580078125E-3,1.028361511E-1,9.770033112E0,9.770579003E0
1.983458125E0,8.981323242E-4,1.052311707E-1,9.737400970E0,9.737969607E0
1.993474125E0,1.796264648E-3,9.714797974E-2,9.742191010E0,9.742675537E0
2.003491125E0,-5.987548828E-3,1.074765015E-1,9.689949646E0,9.690547518E0
2.013508125E0,-2.050735474E-2,1.197509766E-1,9.657167816E0,9.657932029E0
2.023524125E0,-5.987548828E-3,1.146615601E-1,9.662855988E0,9.663538118E0
2.033541125E0,1.496887207E-3,1.212478638E-1,9.679920502E0,9.680679945E0
2.043558125E0,-1.047821045E-2,1.202000427E-1,9.642947388E0,9.643702202E0
2.053574125E0,-1.751358032E-2,1.187031555E-1,9.672885132E0,9.673629305E0
2.063591125E0,-5.388793945E-3,1.261875916E-1,9.710906067E0,9.711727395E0
2.073608125E0,-1.466949463E-2,1.318757629E-1,9.702972565E0,9.703879791E0
2.083624125E0,-1.811233521E-2,1.258882141E-1,9.707014160E0,9.707847331E0
2.093641125E0,-1.975891113E-2,1.339714050E-1,9.751621399E0,9.752561646E0
2.103658125E0,-8.681945801E-3,1.282832336E-1,9.789193268E0,9.790037630E0
2.113674125E0,-1.122665405E-2,1.266366577E-1,9.801617432E0,9.802441898E0
2.123691125E0,-1.197509766E-3,1.164578247E-1,9.825717316E0,9.826407514E0
2.133708125E0,-2.993774414E-4,1.080752563E-1,9.887688446E0,9.888279080E0
2.143724125E0,9.729766846E-3,1.049317932E-1,9.852361908E0,9.852925480E0
2.153741125E0,1.496887207E-3,1.067280579E-1,9.871821442E0,9.872398477E0
2.163758125E0,4.490661621E-4,9.834548950E-2,9.915380859E0,9.915868576E0
2.173774125E0,-1.347198486E-3,8.906478882E-2,9.893975372E0,9.894376333E0
2.183791125E0,-6.586303711E-3,8.816665649E-2,9.852361908E0,9.852758594E0
2.193808125E0,-1.167572021E-2,9.250762939E-2,9.851463776E0,9.851905019E0
2.203824125E0,-1.676513672E-2,9.714797974E-2,9.834548950E0,9.835043053E0
2.213841125E0,-1.541793823E-2,1.019380188E-1,9.792037354E0,9.792580079E0
2.223858125E0,-1.721420288E-2,1.055305481E-1,9.751322021E0,9.751908233E0
2.233874125E0,-1.212478638E-2,1.029858398E-1,9.745035095E0,9.745586801E0
2.243891125E0,7.484436035E-4,1.175056458E-1,9.708211670E0,9.708922801E0
2.253907875E0,5.987548828E-4,1.236428833E-1,9.659113770E0,9.659905110E0
2.263923875E0,2.993774414E-3,1.342707825E-1,9.659413147E0,9.660346782E0
2.273940875E0,7.933502197E-3,1.357676697E-1,9.645043030E0,9.646001806E0
2.283957875E0,-2.544708252E-3,1.329235840E-1,9.623637543E0,9.624555819E0
2.293973875E0,3.293151855E-3,1.347198486E-1,9.652976532E0,9.653917143E0
2.303990875E0,1.347198486E-3,1.437011719E-1,9.674531708E0,9.675598979E0
2.314007875E0,6.286926270E-3,1.302291870E-1,9.680818634E0,9.681696576E0
2.324023875E0,3.592529297E-3,1.302291870E-1,9.712103577E0,9.712977321E0
2.334040875E0,2.694396973E-3,1.200503540E-1,9.750274200E0,9.751013605E0
2.344057875E0,5.688171387E-3,1.103205872E-1,9.795480194E0,9.796103063E0
