"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.306539458E0,-2.703378296E-1,1.167572021E-1,9.780960388E0,9.785392220E0
2.316554458E0,-2.734812927E-1,1.149609375E-1,9.785600739E0,9.790096519E0
2.326570458E0,-2.718347168E-1,1.170565796E-1,9.785151672E0,9.789626633E0
2.336585458E0,-2.724334717E-1,1.155596924E-1,9.776619415E0,9.781097138E0
2.346601458E0,-2.779719543E-1,1.191522217E-1,9.784702606E0,9.789375401E0
2.356616458E0,-2.758763123E-1,1.166075134E-1,9.773026886E0,9.777615229E0
2.366632458E0,-2.745291138E-1,1.263372803E-1,9.778864746E0,9.783533261E0
2.376648458E0,-2.743794250E-1,1.197509766E-1,9.788295135E0,9.792872205E0
2.386663458E0,-2.682421875E-1,1.173559570E-1,9.782606964E0,9.786987550E0
2.396679458E0,-2.718347168E-1,1.145118713E-1,9.786199493E0,9.790643881E0
2.406694458E0,-2.697390747E-1,1.148112488E-1,9.790390778E0,9.794778832E0
2.416710458E0,-2.754272461E-1,1.175056458E-1,9.791588287E0,9.796166032E0
2.426725458E0,-2.718347168E-1,1.200503540E-1,9.777667236E0,9.782181903E0
2.436741458E0,-2.736309814E-1,1.143621826E-1,9.775272217E0,9.779769912E0
2.446756458E0,-2.787203979E-1,1.140628052E-1,9.794731750E0,9.799360461E0
2.456773208E0,-2.770738220E-1,1.175056458E-1,9.782756653E0,9.787385004E0
2.466788208E0,-2.725831604E-1,1.311273193E-1,9.780511322E0,9.785187667E0
2.476804208E0,-2.781216431E-1,1.240919495E-1,9.787696381E0,9.792433349E0
2.486820208E0,-2.763253784E-1,1.167572021E-1,9.784403229E0,9.789000690E0
2.496835208E0,-2.776725769E-1,1.257385254E-1,9.783056030E0,9.787803509E0
2.506851208E0,-2.778222656E-1,1.248403931E-1,9.795330505E0,9.800064798E0
2.516866208E0,-2.710862732E-1,1.234931946E-1,9.791139221E0,9.795669736E0
2.526882208E0,-2.769241333E-1,1.133143616E-1,9.781858521E0,9.786433632E0
2.536897208E0,-2.796185303E-1,1.088237000E-1,9.779313812E0,9.783915768E0
2.546913208E0,-2.743794250E-1,1.187031555E-1,9.791887665E0,9.796450303E0
2.556928208E0,-2.719844055E-1,1.170565796E-1,9.790241089E0,9.794717879E0
2.566944208E0,-2.695893860E-1,1.157093811E-1,9.777966614E0,9.782366697E0
2.576959208E0,-2.692900085E-1,1.200503540E-1,9.777367859E0,9.781812278E0
2.586975208E0,-2.778222656E-1,1.203497314E-1,9.786349182E0,9.791031589E0
2.596991208E0,-2.793191528E-1,1.160087585E-1,9.784103851E0,9.788777523E0
2.607006208E0,-2.761756897E-1,1.187031555E-1,9.778715057E0,9.783334382E0
2.617022208E0,-2.728825378E-1,1.142124939E-1,9.788893890E0,9.793362700E0
2.627037208E0,-2.692900085E-1,1.163081360E-1,9.781259766E0,9.785657223E0
2.637053208E0,-2.737806702E-1,1.169068909E-1,9.777667236E0,9.782198100E0
2.647068208E0,-2.722837830E-1,1.151106262E-1,9.780211945E0,9.784678564E0
2.657084208E0,-2.712359619E-1,1.161584473E-1,9.790989532E0,9.795434536E0
2.667099208E0,-2.757266235E-1,1.213975525E-1,9.785900116E0,9.790536431E0
2.677115208E0,-2.733316040E-1,1.190025330E-1,9.786798248E0,9.791337586E0
2.687130208E0,-2.679428101E-1,1.122665405E-1,9.783205719E0,9.787518136E0
2.697146208E0,-2.728825378E-1,1.169068909E-1,9.783355408E0,9.787858557E0
2.707162208E0,-2.677931213E-1,1.260379028E-1,9.781559143E0,9.786035866E0
2.717177208E0,-2.709365845E-1,1.248403931E-1,9.788594513E0,9.793139144E0
2.727193208E0,-2.782713318E-1,1.161584473E-1,9.784103851E0,9.788749455E0
2.737208208E0,-2.740800476E-1,1.158590698E-1,9.782307587E0,9.786832221E0
2.747224208E0,-2.719844055E-1,1.188528442E-1,9.791139221E0,9.795637231E0
2.757239208E0,-2.686912537E-1,1.134640503E-1,9.781259766E0,9.785607374E0
2.767255208E0,-2.758763123E-1,1.185534668E-1,9.778565369E0,9.783174502E0
2.777270208E0,-2.829116821E-1,1.188528442E-1,9.772877197E0,9.777693682E0
2.787286208E0,-2.742297363E-1,1.269360352E-1,9.780062256E0,9.784729553E0
2.797301208E0,-2.763253784E-1,1.157093811E-1,9.779613190E0,9.784200454E0
2.807317208E0,-2.706372070E-1,1.101708984E-1,9.782307587E0,9.786670723E0
2.817333208E0,-2.757266235E-1,1.234931946E-1,9.786947937E0,9.791609963E0
2.827348208E0,-2.743794250E-1,1.154100037E-1,9.784403229E0,9.788929976E0
2.837364208E0,-2.725831604E-1,1.122665405E-1,9.774074707E0,9.778519404E0
2.847379208E0,-2.755769348E-1,1.128652954E-1,9.786798248E0,9.791327856E0
2.857395208E0,-2.788700867E-1,1.254391479E-1,9.783505096E0,9.788282560E0
2.867410208E0,-2.755769348E-1,1.249900818E-1,9.785301361E0,9.789978953E0
2.877426208E0,-2.764750671E-1,1.194515991E-1,9.790690155E0,9.795321376E0
2.887441208E0,-2.736309814E-1,1.181044006E-1,9.785451050E0,9.789988499E0
